onset	duration	sample	trial_type	response_time	stim_file	value
1556.4220000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1556.8240000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1557.3920000000	n/a	n/a	Fixation	n/a	n/a	S100
1558.3920000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1558.8420000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1559.2920000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1559.8600000000	n/a	n/a	Fixation	n/a	n/a	S100
1560.8920000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1561.1620000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1561.5780000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1562.1460000000	n/a	n/a	Fixation	n/a	n/a	S100
1563.1360000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1563.5900000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1563.8800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1564.4460000000	n/a	n/a	Fixation	n/a	n/a	S100
1565.2980000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1565.6460000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1565.9480000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1566.5160000000	n/a	n/a	Fixation	n/a	n/a	S100
1567.5660000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1568.0300000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1568.4840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1569.0500000000	n/a	n/a	Fixation	n/a	n/a	S100
1569.9220000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
1570.4060000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1570.7020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1571.2680000000	n/a	n/a	Fixation	n/a	n/a	S100
1572.1800000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1572.5500000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1572.8860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1573.4540000000	n/a	n/a	Fixation	n/a	n/a	S100
1574.4440000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
1574.9380000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1575.2380000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1575.8060000000	n/a	n/a	Fixation	n/a	n/a	S100
1576.8460000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1577.3140000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1577.7060000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1578.2740000000	n/a	n/a	Fixation	n/a	n/a	S100
1579.3060000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1580.0500000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1580.5100000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1581.0760000000	n/a	n/a	Fixation	n/a	n/a	S100
1581.9480000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
1582.4540000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1582.7940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1583.3620000000	n/a	n/a	Fixation	n/a	n/a	S100
1584.3320000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1584.8780000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1585.2300000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1585.7960000000	n/a	n/a	Fixation	n/a	n/a	S100
1586.7880000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1587.7460000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1588.1640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1588.7320000000	n/a	n/a	Fixation	n/a	n/a	S100
1589.7840000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1590.2300000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1590.6660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1591.2340000000	n/a	n/a	Fixation	n/a	n/a	S100
1592.2460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1592.6060000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1592.9180000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1593.4860000000	n/a	n/a	Fixation	n/a	n/a	S100
1594.3760000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1594.7420000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1595.0700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1595.6380000000	n/a	n/a	Fixation	n/a	n/a	S100
1596.4880000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1596.7940000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1597.1060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1597.6720000000	n/a	n/a	Fixation	n/a	n/a	S100
1598.6540000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1598.9540000000	n/a	n/a	Response: Right	n/a	n/a	S  3
